"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Year"	"Year Code"	Projected Populations
	"< 1 year"	"0"	"Alabama"	"01"	"2021"	"2021"	58955
	"< 1 year"	"0"	"Alabama"	"01"	"2022"	"2022"	59218
	"< 1 year"	"0"	"Alabama"	"01"	"2023"	"2023"	59530
	"< 1 year"	"0"	"Alabama"	"01"	"2024"	"2024"	59917
	"< 1 year"	"0"	"Alabama"	"01"	"2025"	"2025"	60351
	"< 1 year"	"0"	"Alabama"	"01"	"2026"	"2026"	60767
	"< 1 year"	"0"	"Alabama"	"01"	"2027"	"2027"	61180
	"< 1 year"	"0"	"Alabama"	"01"	"2028"	"2028"	61625
	"< 1 year"	"0"	"Alabama"	"01"	"2029"	"2029"	62098
	"< 1 year"	"0"	"Alabama"	"01"	"2030"	"2030"	62596
	"< 1 year"	"0"	"Alaska"	"02"	"2021"	"2021"	13261
	"< 1 year"	"0"	"Alaska"	"02"	"2022"	"2022"	13323
	"< 1 year"	"0"	"Alaska"	"02"	"2023"	"2023"	13414
	"< 1 year"	"0"	"Alaska"	"02"	"2024"	"2024"	13548
	"< 1 year"	"0"	"Alaska"	"02"	"2025"	"2025"	13708
	"< 1 year"	"0"	"Alaska"	"02"	"2026"	"2026"	13890
	"< 1 year"	"0"	"Alaska"	"02"	"2027"	"2027"	14074
	"< 1 year"	"0"	"Alaska"	"02"	"2028"	"2028"	14274
	"< 1 year"	"0"	"Alaska"	"02"	"2029"	"2029"	14497
	"< 1 year"	"0"	"Alaska"	"02"	"2030"	"2030"	14748
	"< 1 year"	"0"	"Arizona"	"04"	"2021"	"2021"	131413
	"< 1 year"	"0"	"Arizona"	"04"	"2022"	"2022"	133858
	"< 1 year"	"0"	"Arizona"	"04"	"2023"	"2023"	136389
	"< 1 year"	"0"	"Arizona"	"04"	"2024"	"2024"	138989
	"< 1 year"	"0"	"Arizona"	"04"	"2025"	"2025"	141684
	"< 1 year"	"0"	"Arizona"	"04"	"2026"	"2026"	144412
	"< 1 year"	"0"	"Arizona"	"04"	"2027"	"2027"	147178
