"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Year"	"Year Code"	Projected Populations
	"< 1 year"	"0"	"Alabama"	"01"	"2011"	"2011"	59271
	"< 1 year"	"0"	"Alabama"	"01"	"2012"	"2012"	59107
	"< 1 year"	"0"	"Alabama"	"01"	"2013"	"2013"	58916
	"< 1 year"	"0"	"Alabama"	"01"	"2014"	"2014"	58735
	"< 1 year"	"0"	"Alabama"	"01"	"2015"	"2015"	58581
	"< 1 year"	"0"	"Alabama"	"01"	"2016"	"2016"	58487
	"< 1 year"	"0"	"Alabama"	"01"	"2017"	"2017"	58428
	"< 1 year"	"0"	"Alabama"	"01"	"2018"	"2018"	58461
	"< 1 year"	"0"	"Alabama"	"01"	"2019"	"2019"	58559
	"< 1 year"	"0"	"Alabama"	"01"	"2020"	"2020"	58727
	"< 1 year"	"0"	"Alaska"	"02"	"2011"	"2011"	12443
	"< 1 year"	"0"	"Alaska"	"02"	"2012"	"2012"	12623
	"< 1 year"	"0"	"Alaska"	"02"	"2013"	"2013"	12771
	"< 1 year"	"0"	"Alaska"	"02"	"2014"	"2014"	12882
	"< 1 year"	"0"	"Alaska"	"02"	"2015"	"2015"	12972
	"< 1 year"	"0"	"Alaska"	"02"	"2016"	"2016"	13050
	"< 1 year"	"0"	"Alaska"	"02"	"2017"	"2017"	13090
	"< 1 year"	"0"	"Alaska"	"02"	"2018"	"2018"	13139
	"< 1 year"	"0"	"Alaska"	"02"	"2019"	"2019"	13176
	"< 1 year"	"0"	"Alaska"	"02"	"2020"	"2020"	13213
	"< 1 year"	"0"	"Arizona"	"04"	"2011"	"2011"	108719
	"< 1 year"	"0"	"Arizona"	"04"	"2012"	"2012"	111042
	"< 1 year"	"0"	"Arizona"	"04"	"2013"	"2013"	113300
	"< 1 year"	"0"	"Arizona"	"04"	"2014"	"2014"	115537
	"< 1 year"	"0"	"Arizona"	"04"	"2015"	"2015"	117742
	"< 1 year"	"0"	"Arizona"	"04"	"2016"	"2016"	119925
	"< 1 year"	"0"	"Arizona"	"04"	"2017"	"2017"	122120
	"< 1 year"	"0"	"Arizona"	"04"	"2018"	"2018"	124361
	"< 1 year"	"0"	"Arizona"	"04"	"2019"	"2019"	126662
	"< 1 year"	"0"	"Arizona"	"04"	"2020"	"2020"	129004
	"< 1 year"	"0"	"Arkansas"	"05"	"2011"	"2011"	38691
	"< 1 year"	"0"	"Arkansas"	"05"	"2012"	"2012"	38804
	"< 1 year"	"0"	"Arkansas"	"05"	"2013"	"2013"	38930
	"< 1 year"	"0"	"Arkansas"	"05"	"2014"	"2014"	39059
	"< 1 year"	"0"	"Arkansas"	"05"	"2015"	"2015"	39213
	"< 1 year"	"0"	"Arkansas"	"05"	"2016"	"2016"	39400
	"< 1 year"	"0"	"Arkansas"	"05"	"2017"	"2017"	39615
	"< 1 year"	"0"	"Arkansas"	"05"	"2018"	"2018"	39896
	"< 1 year"	"0"	"Arkansas"	"05"	"2019"	"2019"	40187
	"< 1 year"	"0"	"Arkansas"	"05"	"2020"	"2020"	40514
	"< 1 year"	"0"	"California"	"06"	"2011"	"2011"	602663
	"< 1 year"	"0"	"California"	"06"	"2012"	"2012"	610052
	"< 1 year"	"0"	"California"	"06"	"2013"	"2013"	616631
	"< 1 year"	"0"	"California"	"06"	"2014"	"2014"	622235
	"< 1 year"	"0"	"California"	"06"	"2015"	"2015"	626691
	"< 1 year"	"0"	"California"	"06"	"2016"	"2016"	630142
	"< 1 year"	"0"	"California"	"06"	"2017"	"2017"	632708
	"< 1 year"	"0"	"California"	"06"	"2018"	"2018"	634452
	"< 1 year"	"0"	"California"	"06"	"2019"	"2019"	635729
	"< 1 year"	"0"	"California"	"06"	"2020"	"2020"	636489
	"< 1 year"	"0"	"Colorado"	"08"	"2011"	"2011"	72482
	"< 1 year"	"0"	"Colorado"	"08"	"2012"	"2012"	73096
	"< 1 year"	"0"	"Colorado"	"08"	"2013"	"2013"	73727
	"< 1 year"	"0"	"Colorado"	"08"	"2014"	"2014"	74363
	"< 1 year"	"0"	"Colorado"	"08"	"2015"	"2015"	75017
	"< 1 year"	"0"	"Colorado"	"08"	"2016"	"2016"	75700
	"< 1 year"	"0"	"Colorado"	"08"	"2017"	"2017"	76408
	"< 1 year"	"0"	"Colorado"	"08"	"2018"	"2018"	77139
	"< 1 year"	"0"	"Colorado"	"08"	"2019"	"2019"	77894
	"< 1 year"	"0"	"Colorado"	"08"	"2020"	"2020"	78667
	"< 1 year"	"0"	"Connecticut"	"09"	"2011"	"2011"	44250
	"< 1 year"	"0"	"Connecticut"	"09"	"2012"	"2012"	44726
	"< 1 year"	"0"	"Connecticut"	"09"	"2013"	"2013"	45168
	"< 1 year"	"0"	"Connecticut"	"09"	"2014"	"2014"	45556
	"< 1 year"	"0"	"Connecticut"	"09"	"2015"	"2015"	45891
	"< 1 year"	"0"	"Connecticut"	"09"	"2016"	"2016"	46144
	"< 1 year"	"0"	"Connecticut"	"09"	"2017"	"2017"	46306
	"< 1 year"	"0"	"Connecticut"	"09"	"2018"	"2018"	46395
	"< 1 year"	"0"	"Connecticut"	"09"	"2019"	"2019"	46410
	"< 1 year"	"0"	"Connecticut"	"09"	"2020"	"2020"	46337
	"< 1 year"	"0"	"Delaware"	"10"	"2011"	"2011"	11855
	"< 1 year"	"0"	"Delaware"	"10"	"2012"	"2012"	11921
	"< 1 year"	"0"	"Delaware"	"10"	"2013"	"2013"	11959
	"< 1 year"	"0"	"Delaware"	"10"	"2014"	"2014"	11985
	"< 1 year"	"0"	"Delaware"	"10"	"2015"	"2015"	11993
	"< 1 year"	"0"	"Delaware"	"10"	"2016"	"2016"	11998
	"< 1 year"	"0"	"Delaware"	"10"	"2017"	"2017"	12005
	"< 1 year"	"0"	"Delaware"	"10"	"2018"	"2018"	12000
	"< 1 year"	"0"	"Delaware"	"10"	"2019"	"2019"	12006
	"< 1 year"	"0"	"Delaware"	"10"	"2020"	"2020"	11994
	"< 1 year"	"0"	"District of Columbia"	"11"	"2011"	"2011"	9169
	"< 1 year"	"0"	"District of Columbia"	"11"	"2012"	"2012"	9069
	"< 1 year"	"0"	"District of Columbia"	"11"	"2013"	"2013"	8920
	"< 1 year"	"0"	"District of Columbia"	"11"	"2014"	"2014"	8738
	"< 1 year"	"0"	"District of Columbia"	"11"	"2015"	"2015"	8531
	"< 1 year"	"0"	"District of Columbia"	"11"	"2016"	"2016"	8345
	"< 1 year"	"0"	"District of Columbia"	"11"	"2017"	"2017"	8159
	"< 1 year"	"0"	"District of Columbia"	"11"	"2018"	"2018"	7998
	"< 1 year"	"0"	"District of Columbia"	"11"	"2019"	"2019"	7877
	"< 1 year"	"0"	"District of Columbia"	"11"	"2020"	"2020"	7756
	"< 1 year"	"0"	"Florida"	"12"	"2011"	"2011"	245591
	"< 1 year"	"0"	"Florida"	"12"	"2012"	"2012"	249250
	"< 1 year"	"0"	"Florida"	"12"	"2013"	"2013"	252660
	"< 1 year"	"0"	"Florida"	"12"	"2014"	"2014"	255834
	"< 1 year"	"0"	"Florida"	"12"	"2015"	"2015"	258833
	"< 1 year"	"0"	"Florida"	"12"	"2016"	"2016"	261752
	"< 1 year"	"0"	"Florida"	"12"	"2017"	"2017"	264714
	"< 1 year"	"0"	"Florida"	"12"	"2018"	"2018"	267875
	"< 1 year"	"0"	"Florida"	"12"	"2019"	"2019"	271339
	"< 1 year"	"0"	"Florida"	"12"	"2020"	"2020"	275088
	"< 1 year"	"0"	"Georgia"	"13"	"2011"	"2011"	150620
	"< 1 year"	"0"	"Georgia"	"13"	"2012"	"2012"	152287
	"< 1 year"	"0"	"Georgia"	"13"	"2013"	"2013"	153846
	"< 1 year"	"0"	"Georgia"	"13"	"2014"	"2014"	155381
	"< 1 year"	"0"	"Georgia"	"13"	"2015"	"2015"	156937
	"< 1 year"	"0"	"Georgia"	"13"	"2016"	"2016"	158630
	"< 1 year"	"0"	"Georgia"	"13"	"2017"	"2017"	160475
	"< 1 year"	"0"	"Georgia"	"13"	"2018"	"2018"	162532
	"< 1 year"	"0"	"Georgia"	"13"	"2019"	"2019"	164771
	"< 1 year"	"0"	"Georgia"	"13"	"2020"	"2020"	167135
	"< 1 year"	"0"	"Hawaii"	"15"	"2011"	"2011"	20467
	"< 1 year"	"0"	"Hawaii"	"15"	"2012"	"2012"	20499
	"< 1 year"	"0"	"Hawaii"	"15"	"2013"	"2013"	20491
	"< 1 year"	"0"	"Hawaii"	"15"	"2014"	"2014"	20437
	"< 1 year"	"0"	"Hawaii"	"15"	"2015"	"2015"	20327
	"< 1 year"	"0"	"Hawaii"	"15"	"2016"	"2016"	20166
	"< 1 year"	"0"	"Hawaii"	"15"	"2017"	"2017"	19967
	"< 1 year"	"0"	"Hawaii"	"15"	"2018"	"2018"	19776
	"< 1 year"	"0"	"Hawaii"	"15"	"2019"	"2019"	19612
	"< 1 year"	"0"	"Hawaii"	"15"	"2020"	"2020"	19460
	"< 1 year"	"0"	"Idaho"	"16"	"2011"	"2011"	23290
	"< 1 year"	"0"	"Idaho"	"16"	"2012"	"2012"	23370
	"< 1 year"	"0"	"Idaho"	"16"	"2013"	"2013"	23422
	"< 1 year"	"0"	"Idaho"	"16"	"2014"	"2014"	23429
	"< 1 year"	"0"	"Idaho"	"16"	"2015"	"2015"	23431
	"< 1 year"	"0"	"Idaho"	"16"	"2016"	"2016"	23418
	"< 1 year"	"0"	"Idaho"	"16"	"2017"	"2017"	23429
	"< 1 year"	"0"	"Idaho"	"16"	"2018"	"2018"	23467
	"< 1 year"	"0"	"Idaho"	"16"	"2019"	"2019"	23524
	"< 1 year"	"0"	"Idaho"	"16"	"2020"	"2020"	23627
	"< 1 year"	"0"	"Illinois"	"17"	"2011"	"2011"	189416
	"< 1 year"	"0"	"Illinois"	"17"	"2012"	"2012"	189919
	"< 1 year"	"0"	"Illinois"	"17"	"2013"	"2013"	190231
	"< 1 year"	"0"	"Illinois"	"17"	"2014"	"2014"	190311
	"< 1 year"	"0"	"Illinois"	"17"	"2015"	"2015"	190190
	"< 1 year"	"0"	"Illinois"	"17"	"2016"	"2016"	189956
	"< 1 year"	"0"	"Illinois"	"17"	"2017"	"2017"	189671
	"< 1 year"	"0"	"Illinois"	"17"	"2018"	"2018"	189395
	"< 1 year"	"0"	"Illinois"	"17"	"2019"	"2019"	189141
	"< 1 year"	"0"	"Illinois"	"17"	"2020"	"2020"	188903
	"< 1 year"	"0"	"Indiana"	"18"	"2011"	"2011"	88037
	"< 1 year"	"0"	"Indiana"	"18"	"2012"	"2012"	88370
	"< 1 year"	"0"	"Indiana"	"18"	"2013"	"2013"	88677
	"< 1 year"	"0"	"Indiana"	"18"	"2014"	"2014"	88973
	"< 1 year"	"0"	"Indiana"	"18"	"2015"	"2015"	89308
	"< 1 year"	"0"	"Indiana"	"18"	"2016"	"2016"	89652
	"< 1 year"	"0"	"Indiana"	"18"	"2017"	"2017"	90038
	"< 1 year"	"0"	"Indiana"	"18"	"2018"	"2018"	90457
	"< 1 year"	"0"	"Indiana"	"18"	"2019"	"2019"	90900
	"< 1 year"	"0"	"Indiana"	"18"	"2020"	"2020"	91354
	"< 1 year"	"0"	"Iowa"	"19"	"2011"	"2011"	38354
