,MMWR,Week_end_date,Flu_A_not_subtyped,Flu_A_H1N1,Flu_A_H3,Flu_B,Not_subtyped,Totals
0,53,4-Jan*,0,0,0,0,1.0,1
1,1,10-Jan,0,0,0,0,2.0,2
2,2,17-Jan,0,0,0,0,1.0,1
3,3,24-Jan,0,0,0,0,0.0,0
4,4,31-Jan,0,0,0,0,7.0,7
5,5,7-Feb,0,0,0,0,12.0,12
6,6,14-Feb,1,0,0,1,32.0,34
7,7,21-Feb,1,0,0,0,38.0,39
8,8,28-Feb,1,0,0,0,17.0,18
9,9,7-Mar,0,0,0,0,15.0,15
10,10,14-Mar,0,0,0,0,10.0,10
11,11,21-Mar,0,0,0,0,,6
12,12,28-Mar,0,0,0,0,3.0,3
13,13,4-Apr,1,0,0,0,2.0,3
14,14,11-Apr,0,0,0,1,1.0,2
15,15,18-Apr,0,0,0,0,0.0,0
16,16,25-Apr,0,0,0,0,0.0,0
17,17,2-May,0,0,0,0,1.0,1
18,18,9-May,0,0,0,0,3.0,3
19,19,16-May,0,0,0,0,2.0,2
20,20,23-May,0,0,0,0,3.0,3
21,21,30-May,0,0,0,0,3.0,3
22,22,6-Jun,0,0,0,0,9.0,9
23,23,13-Jun,1,0,0,0,19.0,20
24,24,20-Jun,0,0,0,0,18.0,18
25,25,27-Jun,0,0,0,0,12.0,12
26,26,4-Jul,0,0,0,0,4.0,4
27,27,11-Jul,0,0,0,0,9.0,9
28,28,18-Jul,0,0,0,0,7.0,7
29,29,25-Jul,0,0,0,0,1.0,1
30,30,1-Aug,0,0,0,0,0.0,0
31,31,8-Aug,0,0,0,0,0.0,0
32,32,15-Aug,0,0,0,0,0.0,0
33,33,22-Aug,0,0,0,0,0.0,0
