,MMWR,Week_end_date,Flu_A_not_subtyped,Flu_A_H1N1,Flu_A_H3,Flu_B,Not_subtyped,Totals
0,35,5-Sep,0,0.1,0.2,0.3,0.4,0.5
1,37,19-Sep,1,0,0,0,0,1
2,38,26-Sep,0,0,0,0,0,0
3,39,3-Oct,0,0,0,0,0,0
4,40,10-Oct,0,0,0,0,0,0
5,41,17-Oct,0,0,0,0,0,0
6,42,24-Oct,0,0,0,0,0,0
7,43,31-Oct,2,0,0,0,0,2
8,44,7-Nov,5,0,0,0,0,5
9,45,14-Nov,4,0,0,0,0,4
10,46,21-Nov,5,0,0,0,0,5
11,47,28-Nov,2,0,0,0,0,2
12,48,5-Dec,2,0,0,0,0,2
13,49,12-Dec,1,0,0,0,0,1
14,50,19-Dec,0,0,0,0,0,0
15,51,26-Dec,0,0,0,0,0,0
16,52,2-Jan**,0,0,0,0,0,0
