,MMWR,Week_end_date,Flu_A_not_subtyped,Flu_A_H1N1,Flu_A_H3,Flu_B,Not_subtyped,Totals
0,8,27-Feb,0,0.1,0.2,0.3,0.4,0.5
1,10,13-Mar,0,0,0,0,0,0
2,11,20-Mar,0,0,0,0,0,0
3,12,27-Mar,0,0,0,0,0,0
4,13,3-Apr,0,0,0,0,0,0
5,14,10-Apr,0,0,0,0,0,0
6,15,17-Apr,0,0,0,0,0,0
7,16,24-Apr,0,0,0,0,0,0
8,17,1-May,0,0,0,0,0,0
9,18,8-May,0,0,0,0,0,0
10,19,15-May,0,0,0,0,0,0
11,20,22-May,0,0,0,0,0,0
12,21,29-May,0,0,0,0,0,0
13,22,5-Jun,0,0,0,0,0,0
14,23,12-Jun,0,0,0,0,0,0
15,24,19-Jun,1,0,0,0,0,1
16,25,26-Jun,0,0,0,0,0,0
17,26,3-Jul,0,0,0,0,0,0
18,27,10-Jul,0,0,0,0,0,0
19,28,17-Jul,0,0,0,0,0,0
20,29,24-Jul,1,0,0,0,0,1
21,30,31-Jul,0,0,0,0,0,0
22,31,7-Aug,0,0,0,0,0,0
23,32,14-Aug,0,0,0,0,0,0
24,33,21-Aug,0,0,0,0,0,0
25,34,28-Aug,0,0,0,0,0,0
26,35,4-Sep,0,0,0,0,0,0
27,36,11-Sep,0,0,0,0,0,0
28,37,18-Sep,0,0,0,0,0,0
29,38,25-Sep,0,0,0,0,0,0
30,39,2-Oct,0,0,0,0,0,0
31,40,9-Oct,0,0,0,0,0,0
32,41,16-Oct,0,0,0,0,0,0
33,42,23-Oct,0,0,0,0,0,0
34,43,31-Oct,0,0,0,0,0,0
35,44,6-Nov,0,0,0,0,0,0
36,45,13-Nov,1,0,0,0,0,1
37,46,20-Nov,1,0,0,0,0,1
38,47,27-Nov,0,0,0,0,0,0
